Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Curtis Perry,22,SDR,C,18,,5.6,1.2,2.7,.438,0.6,1.1,.550,1.7,0.3,1.2,2.9,
Garfield Smith,25,BOS,C,37,,7.6,1.1,3.1,.362,0.6,1.5,.393,2.6,0.2,1.4,2.9,
Johnny Egan,32,2TM,PG,62,,13.3,1.1,2.9,.376,0.7,0.8,.824,1.0,1.8,1.1,2.8,
Bob Christian,24,ATL,C,54,,9.7,1.0,2.4,.433,0.7,1.2,.625,3.3,0.6,2.2,2.8,
Harvey Marlatt,22,DET,SG,23,,9.3,1.1,3.5,.313,0.7,0.8,.833,1.0,1.3,1.2,2.8,
Marv Winkler,22,MIL,,3,,4.7,1.0,3.3,.300,0.7,0.7,1.000,1.3,0.7,1.0,2.7,
Dick Cunningham,24,MIL,C,76,,8.9,1.1,2.6,.415,0.5,0.8,.661,3.4,0.6,1.2,2.6,
Greg Fillmore,23,NYK,C,39,,6.9,1.2,2.6,.441,0.3,0.7,.481,2.4,0.4,2.1,2.6,
Bob Greacen,23,MIL,SF,2,,21.5,0.5,6.0,.083,1.5,3.5,.429,3.0,6.5,3.5,2.5,
Mike Silliman,26,BUF,SF,36,,10.2,1.0,2.2,.456,0.5,1.1,.487,1.7,0.6,1.0,2.5,
Bud Ogden,24,PHI,SF,27,0,4.9,0.9,2.4,.364,0.7,1.0,.692,0.7,0.6,0.8,2.4,
Herb White,22,ATL,PG,38,,8.3,0.9,2.2,.405,0.6,1.0,.564,1.3,1.2,1.6,2.4,
Tom Sanders,32,BOS,SF,17,,7.1,0.9,2.6,.364,0.4,0.5,.875,1.0,0.6,1.5,2.3,
Jeff Webb,22,MIL,SG,29,,10.3,0.9,2.7,.346,0.4,0.5,.733,0.8,0.7,1.1,2.2,
Bill Zopf,22,MIL,PG,53,,7.5,0.9,2.5,.363,0.4,0.7,.556,0.9,1.4,0.6,2.2,
Walt Gilmore,23,POR,PF,27,,9.7,0.9,2.0,.426,0.4,1.0,.462,2.7,0.4,1.8,2.1,
Al Attles,34,SFW,PG,34,,9.4,0.6,1.6,.407,0.7,1.2,.585,1.2,1.7,1.7,2.0,
Moe Barr,26,CIN,,31,,4.7,0.8,2.0,.403,0.4,0.4,.846,0.6,0.9,0.9,2.0,
Eddie Mast,22,NYK,PF,30,,5.5,0.8,2.2,.379,0.4,0.7,.550,1.9,0.1,0.8,2.0,
Dennis Stewart,23,BAL,,2,,3.0,0.5,2.0,.250,1.0,1.0,1.000,1.5,0.5,0.0,2.0,
Bob Riley,22,ATL,,7,,5.6,0.6,1.3,.444,0.7,1.3,.556,1.7,0.1,0.7,1.9,
Gary Zeller,23,BAL,SG,50,,4.5,0.7,2.3,.296,0.3,0.6,.536,0.5,0.1,0.9,1.7,
Claude English,24,POR,,18,,3.9,0.6,2.3,.262,0.3,0.4,.714,1.1,0.3,0.8,1.5,
Mike Price,22,NYK,SG,56,,4.5,0.5,1.4,.370,0.4,0.6,.706,0.5,0.2,1.0,1.5,
Mike Lynn,25,BUF,SF,5,,5.0,0.4,1.4,.286,0.6,0.6,1.000,0.8,0.2,1.8,1.4,
Gary Suiter,26,CLE,,30,,4.7,0.6,1.8,.352,0.1,0.3,.444,1.4,0.1,0.7,1.4,
Joe Thomas,22,PHO,SF,39,,5.2,0.6,2.2,.267,0.2,0.5,.450,1.1,0.4,0.5,1.4,
Ralph Ogden,23,SFW,,32,,5.1,0.5,2.2,.239,0.3,0.4,.667,1.0,0.3,0.5,1.3,
Al Henry,21,PHI,C,6,0,4.3,0.2,1.0,.167,0.8,1.2,.714,1.8,0.0,0.2,1.2,
Willie Williams,24,2TM,,25,,4.2,0.4,1.7,.238,0.1,0.2,.600,0.9,0.3,0.6,0.9,
Milt Williams,25,NYK,PG,5,,2.6,0.2,0.2,1.000,0.4,0.6,.667,0.0,0.4,0.6,0.8,
A.W. Holt,24,CHI,SF,6,,2.3,0.2,1.3,.125,0.3,0.5,.667,0.7,0.0,0.2,0.7,
Earnie Killum,22,LAL,,4,,3.0,0.0,1.0,.000,0.3,0.3,1.000,0.5,0.0,0.3,0.3,
